[2021-04-08 00:00:07]: GODLIKe [hax, Level 44]: bad
[2021-04-08 03:53:55]: (1)ビール|Ze [Drunks, Level 12]: [D] Swipez:
[2021-04-08 03:54:18]: [D] Swipez [, Level 25]: XD
[2021-04-08 03:54:22]: ***  [h���, Level 0]: 'Jerry' finished the special race!
[2021-04-08 03:54:22]: ***  [h���, Level 0]: Jerry finished in: 9 minute(s) 13.72 second(s)
[2021-04-08 03:54:34]: Kong [[_Any %_], Level 0]: sorry
[2021-04-08 03:55:06]: Axandos [, Level 0]: bob:  links
[2021-04-08 03:55:32]: ***  [, Level 0]: 'gian x' has left the game (Timeout)
[2021-04-08 03:55:35]: ***  [, Level 0]: 'gian x' entered and joined the game
[2021-04-08 03:55:46]: bob [Legacy™, Level 36]: bonjour
[2021-04-08 03:55:51]: Axandos [, Level 0]: salut
[2021-04-08 03:56:04]: Axandos [, Level 0]: omfg
[2021-04-08 03:56:07]: Axandos [, Level 0]: ich lösch mich bob
[2021-04-08 03:56:13]: ***  [, Level 0]: '(1)Котяра' entered and joined the game
[2021-04-08 03:56:32]: bob [Legacy™, Level 36]: restart: we good?
[2021-04-08 03:56:44]: ***  [, Level 0]: 'gian x' has left the game (Too weak connection (not acked for 60 seconds))
[2021-04-08 03:56:56]: bob [Legacy™, Level 36]: JxK|JoK'Air: u french ?
[2021-04-08 03:56:59]: Swipez [[!FAKE!], Level 30]: bob: ok win save as
[2021-04-08 03:56:59]: JxK|JoK'Air [, Level 0]: bob: ye
[2021-04-08 03:56:59]: ***  [, Level 0]: [INFO] Check out the minigames using '/minigames'
[2021-04-08 03:57:05]: bob [Legacy™, Level 36]: why ur french friends attack me
[2021-04-08 03:57:19]: ***  [, Level 0]: 'ビール|Zero' has left the game (Timeout)
[2021-04-08 03:57:19]: ***  [, Level 0]: 'Котяра' has left the game (Timeout)
[2021-04-08 03:57:19]: ***  [, Level 0]: '(1)ビール|Zero' has left the game (Timeout)
[2021-04-08 03:57:19]: ***  [, Level 0]: '(1)Котяра' has left the game (Timeout)
[2021-04-08 03:57:22]: JxK|JoK'Air [, Level 0]: bob: who ?
[2021-04-08 03:57:26]: bob [Legacy™, Level 36]: yellow and swipe
[2021-04-08 03:57:31]: Kong [[_Any %_], Level 0]: help
[2021-04-08 03:57:31]: JxK|JoK'Air [, Level 0]: bob: idk lol
[2021-04-08 03:57:32]: Swipez [[!FAKE!], Level 30]: bob: bc idk who are u D:
[2021-04-08 03:57:39]: ***  [, Level 0]: ERROR is on a killing spree with 5 blocks
[2021-04-08 03:57:40]: Kong [[_Any %_], Level 0]: ?
[2021-04-08 03:57:43]: Kong [[_Any %_], Level 0]: why
[2021-04-08 03:57:44]: ***  [, Level 0]: 'nameless tee' entered and joined the game
[2021-04-08 03:57:55]: bob [Legacy™, Level 36]: YelloWorlD:
[2021-04-08 03:58:05]: ***  [, Level 0]: 'gian x' entered and joined the game
[2021-04-08 03:58:09]: CKA3A4NIK[NR] [Night Raid, Level 35]: Axandos:  ??
[2021-04-08 03:58:41]: Kong [[_Any %_], Level 0]: ?
[2021-04-08 03:58:43]: ***  [, Level 0]: 'Swipez' changed name to '\\Syth'
[2021-04-08 03:58:53]: CKA3A4NIK[NR] [Night Raid, Level 35]: XD
[2021-04-08 03:58:53]: Kong [[_Any %_], Level 0]: maybe stop
[2021-04-08 03:58:56]: ChillerDragon [|*KoG*|, Level 44]: ZillyDreck: I am currently afk.
[2021-04-08 03:58:57]: ***  [, Level 0]: 'Kezo' entered and joined the game
[2021-04-08 03:58:58]: CKA3A4NIK[NR] [Night Raid, Level 35]: help pls
[2021-04-08 03:58:59]: ***  [, Level 0]: 'ビール|Zero' entered and joined the game
[2021-04-08 03:59:20]: ***  [h���, Level 0]: 'HeavyGeneral' entered and joined the game
[2021-04-08 03:59:27]: bob [Legacy™, Level 36]: hello sir
[2021-04-08 03:59:28]: ***  [, Level 0]: 'nameless tee' has left the game
[2021-04-08 03:59:29]: ***  [, Level 0]: 'gian x' has left the game
[2021-04-08 03:59:31]: ***  [, Level 0]: 'ビール|Zero' has left the game
[2021-04-08 03:59:32]: CKA3A4NIK[NR] [Night Raid, Level 35]: Clown with full
[2021-04-08 03:59:32]: ***  [, Level 0]: 'ビール|Zero' entered and joined the game
[2021-04-08 03:59:33]: ERROR [404, Level 74]: nice
[2021-04-08 03:59:34]: ERROR [404, Level 74]: bb
[2021-04-08 03:59:39]: CKA3A4NIK[NR] [Night Raid, Level 35]: Clown with full
[2021-04-08 03:59:42]: HeavyGeneral [FookinLads, Level 44]: ye
[2021-04-08 03:59:50]: CKA3A4NIK[NR] [Night Raid, Level 35]: HeavyGeneral:  Привет
[2021-04-08 03:59:50]: ***  [, Level 0]: 'Котяра' entered and joined the game
[2021-04-08 03:59:55]: HeavyGeneral [FookinLads, Level 44]: privet
[2021-04-08 04:00:00]: Axandos [, Level 0]: privjet
[2021-04-08 04:00:06]: Axandos [, Level 0]: kak tibe dila
[2021-04-08 04:00:06]: ビール|Zero [Drunks, Level 28]: CKA3A4NIK[NR]: дай рифл
[2021-04-08 04:00:11]: Kong [[_Any %_], Level 0]: XD
[2021-04-08 04:00:14]: Axandos [, Level 0]: kak tibe dila  HeavyGeneral
[2021-04-08 04:00:19]: HeavyGeneral [FookinLads, Level 44]: gut gut
[2021-04-08 04:00:24]: bob [Legacy™, Level 36]: wtf
[2021-04-08 04:00:24]: [D] Swipez [, Level 25]: bob: sorry ok im HeavyGeneral friend
[2021-04-08 04:00:25]: Axandos [, Level 0]: harascho HeavyGeneral
[2021-04-08 04:00:27]: bob [Legacy™, Level 36]: u ,moonwalk
[2021-04-08 04:00:30]: restart [, Level 12]: HELPPPP
[2021-04-08 04:00:34]: ビール|Zero [Drunks, Level 28]: дай рифл
[2021-04-08 04:00:41]: CKA3A4NIK[NR] [Night Raid, Level 35]: у меня 1
[2021-04-08 04:00:42]: [D] Swipez [, Level 25]: bob: want help ;-;
[2021-04-08 04:00:45]: bob [Legacy™, Level 36]: say sorry
[2021-04-08 04:00:45]: ビール|Zero [Drunks, Level 28]: кильнёшся
[2021-04-08 04:00:54]: ビール|Zero [Drunks, Level 28]: А бл
[2021-04-08 04:00:54]: CKA3A4NIK[NR] [Night Raid, Level 35]: я не могу кинуть
[2021-04-08 04:00:56]: bob [Legacy™, Level 36]: now
[2021-04-08 04:01:00]: ビール|Zero [Drunks, Level 28]: ладно
[2021-04-08 04:01:04]: [D] Swipez [, Level 25]: bob: what
[2021-04-08 04:01:07]: bob [Legacy™, Level 36]: say sorry
[2021-04-08 04:01:11]: [D] Swipez [, Level 25]: ss
[2021-04-08 04:01:20]: ***  [, Level 0]: 'Kezo' has left the game
[2021-04-08 04:01:23]: [D] Swipez [, Level 25]: bob: im say ss
[2021-04-08 04:01:27]: bob [Legacy™, Level 36]: whats ss
[2021-04-08 04:01:37]: [D] Swipez [, Level 25]: say sorry
[2021-04-08 04:01:42]: [D] Swipez [, Level 25]: its ss
[2021-04-08 04:01:44]: CKA3A4NIK[NR] [Night Raid, Level 35]: restart:  Stop or you have big problem
[2021-04-08 04:01:53]: CKA3A4NIK[NR] [Night Raid, Level 35]: HeavyGeneral:  убей клоунов в полисе плиз
[2021-04-08 04:01:55]: ***  [, Level 0]: 'JxK|JoK'Air' has left the game
[2021-04-08 04:01:59]: ***  [, Level 0]: [INFO] You can drop weapons with 'f4' (or the key for vote no)
[2021-04-08 04:02:12]: bob [Legacy™, Level 36]: no fk u
[2021-04-08 04:02:23]: toxicdadd [, Level 22]: (1)kais: nice kais
[2021-04-08 04:02:24]: CKA3A4NIK[NR] [Night Raid, Level 35]: bob:  STOP
[2021-04-08 04:02:24]: ***  [h���, Level 0]: (1)kais is on a killing spree with 5 blocks
[2021-04-08 04:02:25]: ***  [h���, Level 0]: 'bob weqe fan' has left the game
[2021-04-08 04:02:26]: CKA3A4NIK[NR] [Night Raid, Level 35]: bob:  OMG CLOWN
[2021-04-08 04:02:31]: CKA3A4NIK[NR] [Night Raid, Level 35]: bob: STOP DUMBASS
[2021-04-08 04:02:43]: bob [Legacy™, Level 36]: Friendiship ²:
[2021-04-08 04:02:51]: CKA3A4NIK[NR] [Night Raid, Level 35]: HeavyGeneral:  убей клоунов в полисе плиз
[2021-04-08 04:02:59]: ***  [h���, Level 0]: 'bob weqe fan' entered and joined the game
[2021-04-08 04:03:26]: [D] Swipez [, Level 25]:  D:
[2021-04-08 04:03:30]: CKA3A4NIK[NR] [Night Raid, Level 35]: Axandos:  Why you kill me?
[2021-04-08 04:03:39]: bob [Legacy™, Level 36]: bob weqe fan: eww u ugly
[2021-04-08 04:03:41]: ***  [h���, Level 0]: 'bob weqe fan' has left the game
[2021-04-08 04:03:43]: Axandos [, Level 0]: xDD
[2021-04-08 04:03:44]: bob [Legacy™, Level 36]: xXDDD
[2021-04-08 04:04:09]: HeavyGeneral [FookinLads, Level 44]: xa-xa-xa-xa00))
[2021-04-08 04:04:11]: Supers [ᅟᅟᅟ, Level 8]: [D] x7|cya:  wtf
[2021-04-08 04:04:11]: HeavyGeneral [FookinLads, Level 44]: xa-xa-xa-xa00))
[2021-04-08 04:04:17]: CKA3A4NIK[NR] [Night Raid, Level 35]: bob:  OMG WHY YOU KILL ME?
[2021-04-08 04:04:19]: CKA3A4NIK[NR] [Night Raid, Level 35]: Axandos:  Why you kill me?
[2021-04-08 04:04:34]: Axandos [, Level 0]: bob:  Tom  und Jerry  ist helper
[2021-04-08 04:04:37]: ***  [h���, Level 0]: 'P4Pyr0s' has left the game (Too weak connection (not acked for 60 seconds))
[2021-04-08 04:04:37]: ***  [h���, Level 0]: 'x7 sven' has left the game (Too weak connection (not acked for 60 seconds))
[2021-04-08 04:04:37]: [D] Swipez [, Level 25]: bob: sorry
[2021-04-08 04:04:37]: ***  [h���, Level 0]: 'bob weqe fan' entered and joined the game
[2021-04-08 04:04:41]: [D] Swipez [, Level 25]: bob: sorry
[2021-04-08 04:04:41]: Tom [, Level 32]: ?
[2021-04-08 04:04:42]: Axandos [, Level 0]: er hat gold geholfen bobq
[2021-04-08 04:04:43]: Axandos [, Level 0]: er hat gold geholfen bob
[2021-04-08 04:04:47]: Tom [, Level 32]: T???????????//
[2021-04-08 04:04:47]: bob [Legacy™, Level 36]: ok
[2021-04-08 04:04:53]: Tom [, Level 32]: T???????????//
[2021-04-08 04:04:56]: Jerry [, Level 29]: T???????????//
[2021-04-08 04:04:57]: [D] Swipez [, Level 25]: bob: u let me free?
[2021-04-08 04:05:01]: restart [, Level 12]: HELP PLS
[2021-04-08 04:05:10]: ***  [h���, Level 0]: Axandos is on a killing spree with 5 blocks
[2021-04-08 04:05:20]: ***  [h���, Level 0]: Котяра finished in: 2 minute(s) 30.88 second(s)
[2021-04-08 04:05:21]: ***  [h���, Level 0]: ビール|Zero finished in: 1 minute(s)  1.90 second(s)
[2021-04-08 04:05:21]: ***  [h���, Level 0]: New record: 1 minute(s)  9.46 second(s) better.
[2021-04-08 04:05:27]: ***  [h���, Level 0]: 'bob weqe fan' has left the game
[2021-04-08 04:05:28]: ***  [h���, Level 0]: 'GOLD' has left the game
[2021-04-08 04:05:28]: ***  [h���, Level 0]: 'YelloWorlD' has left the game
[2021-04-08 04:05:29]: OP|Supers [DogParty, Level 39]: [D] x7|cya:  wtf is your probvlem
[2021-04-08 04:05:39]: CKA3A4NIK[NR] [Night Raid, Level 35]: Axandos:  Why you kill me?
[2021-04-08 04:05:40]: x7|cya [xSD7, Level 42]: Supers: you killed me and helped yelloworld
[2021-04-08 04:05:45]: OP|Supers [DogParty, Level 39]: [D] x7|cya:  ok?
[2021-04-08 04:05:47]: CKA3A4NIK[NR] [Night Raid, Level 35]: Axandos: You stupid?
[2021-04-08 04:05:51]: CKA3A4NIK[NR] [Night Raid, Level 35]: Axandos: You stupid??
[2021-04-08 04:06:00]: Axandos [, Level 0]: mad cuz bad? CKA3A4NIK[NR]
[2021-04-08 04:06:10]: CKA3A4NIK[NR] [Night Raid, Level 35]: Axandos: Omg you mom die and you dad gay
[2021-04-08 04:06:13]: \\Syth [[!FAKE!], Level 30]: bob:
[2021-04-08 04:06:19]: ***  [h���, Level 0]: 'bob weqe fan' entered and joined the game
[2021-04-08 04:06:21]: Axandos [, Level 0]: CKA3A4NIK[NR]:  we dont talk about ur parents
[2021-04-08 04:06:22]: OP|Supers [DogParty, Level 39]: [D] x7|cya:  noob
[2021-04-08 04:06:24]: Axandos [, Level 0]: gay ngl
[2021-04-08 04:06:25]: Kong [[_Any %_], Level 0]: :)
[2021-04-08 04:06:29]: OP|Supers [DogParty, Level 39]: xD
[2021-04-08 04:06:40]: CKA3A4NIK[NR] [Night Raid, Level 35]: CLOWN 9v1
[2021-04-08 04:06:42]: CKA3A4NIK[NR] [Night Raid, Level 35]: OMG
[2021-04-08 04:06:43]: OP|Supers [DogParty, Level 39]: [D] x7|cya:  ahahahah xD
[2021-04-08 04:06:48]: Axandos [, Level 0]: CKA3A4NIK[NR]:  u are bad
[2021-04-08 04:06:49]: Axandos [, Level 0]: af
[2021-04-08 04:06:55]: CKA3A4NIK[NR] [Night Raid, Level 35]: Axandos:  Lol go 1on1
[2021-04-08 04:06:59]: ***  [h���, Level 0]: [INFO] Join our Discord: https://discord.gg/qccRrtb
[2021-04-08 04:07:02]: OP|Supers [DogParty, Level 39]: [D] x7|cya:  you remember about 30min i helped you at 8jumps
[2021-04-08 04:07:06]: CKA3A4NIK[NR] [Night Raid, Level 35]: Axandos:  Lol go 1on1 clown
[2021-04-08 04:07:10]: Axandos [, Level 0]: CKA3A4NIK[NR]:  u fucking cry 4 healp and peacew
[2021-04-08 04:07:18]: ***  [h���, Level 0]: 'P4Pyr0s' entered and joined the game
[2021-04-08 04:07:18]: x7|cya [xSD7, Level 42]: no
[2021-04-08 04:07:25]: x7|cya [xSD7, Level 42]: i played csgo 30 minutes ago
[2021-04-08 04:07:27]: Axandos [, Level 0]: 2 times
[2021-04-08 04:07:29]: ***  [h���, Level 0]: 'Котяра' finished the special race!
[2021-04-08 04:07:30]: ***  [h���, Level 0]: 'ビール|Zero' finished the special race!
[2021-04-08 04:07:30]: OP|Supers [DogParty, Level 39]: ok?
[2021-04-08 04:07:33]: OP|Supers [DogParty, Level 39]: [D] x7|cya:  xD
[2021-04-08 04:07:34]: CKA3A4NIK[NR] [Night Raid, Level 35]: Axandos:  Lol go 1on1 clown
[2021-04-08 04:07:35]: Axandos [, Level 0]: un eed more CKA3A4NIK[NR] ?
[2021-04-08 04:07:40]: ***  [h���, Level 0]: 'x7 sven' entered and joined the game
[2021-04-08 04:07:40]: x7|cya [xSD7, Level 42]: Supers: i lost btw
[2021-04-08 04:07:42]: x7|cya [xSD7, Level 42]: xD
[2021-04-08 04:07:47]: CKA3A4NIK[NR] [Night Raid, Level 35]: Axandos:  Clown go to ROYWIN
[2021-04-08 04:07:51]: CKA3A4NIK[NR] [Night Raid, Level 35]: Axandos:  Omg
[2021-04-08 04:07:55]: Axandos [, Level 0]: CKA3A4NIK[NR]:  imagine playing on v3
[2021-04-08 04:08:00]: Axandos [, Level 0]: and still suck
[2021-04-08 04:08:01]: CKA3A4NIK[NR] [Night Raid, Level 35]: Axandos: ok go v3
[2021-04-08 04:08:05]: bob weqe fan [Ape, Level 0]: i got it
[2021-04-08 04:08:07]: CKA3A4NIK[NR] [Night Raid, Level 35]: Axandos: ok go v3
[2021-04-08 04:08:10]: CKA3A4NIK[NR] [Night Raid, Level 35]: Axandos: ok go v3 CLOWn
[2021-04-08 04:08:11]: Axandos [, Level 0]: i dont play on v3 CKA3A4NIK[NR]
[2021-04-08 04:08:22]: CKA3A4NIK[NR] [Night Raid, Level 35]: Axandos: OMG scared
[2021-04-08 04:08:28]: OP|Supers [DogParty, Level 39]: [D] x7|cya:  help or war XD
[2021-04-08 04:08:30]: Kong [[_Any %_], Level 0]: hook pls
[2021-04-08 04:08:30]: Axandos [, Level 0]: yes CKA3A4NIK[NR]
[2021-04-08 04:08:31]: \\Syth [[!FAKE!], Level 30]: bob: let free my dummy
[2021-04-08 04:08:34]: Axandos [, Level 0]: ur skill is over 9000 CKA3A4NIK[NR]
[2021-04-08 04:08:39]: Котяра [, Level 19]: CKA3A4NIK[NR]: я отвечаю тебе не больше 13 летXD
[2021-04-08 04:08:49]: CKA3A4NIK[NR] [Night Raid, Level 35]: Omg
[2021-04-08 04:08:50]: Axandos [, Level 0]: AHAHAHAHAHA
[2021-04-08 04:08:54]: CKA3A4NIK[NR] [Night Raid, Level 35]: FUCK LAGS
[2021-04-08 04:08:55]: CKA3A4NIK[NR] [Night Raid, Level 35]: OMG
[2021-04-08 04:08:56]: Axandos [, Level 0]: CKA3A4NIK[NR]:  i do nothing
[2021-04-08 04:08:59]: CKA3A4NIK[NR] [Night Raid, Level 35]: OMG ping 170
[2021-04-08 04:09:02]: ***  [h���, Level 0]: '[D] Swipez' changed name to 'd'
[2021-04-08 04:09:04]: Axandos [, Level 0]: i hook u ojne time CKA3A4NIK[NR]
[2021-04-08 04:09:07]: CKA3A4NIK[NR] [Night Raid, Level 35]: OMG
[2021-04-08 04:09:07]: ***  [h���, Level 0]: 'd' changed name to '[D] \\Syth'
[2021-04-08 04:09:08]: OP|Supers [DogParty, Level 39]: [D] x7|cya:  taser low bob
[2021-04-08 04:09:13]: CKA3A4NIK[NR] [Night Raid, Level 35]: Only with full
[2021-04-08 04:09:21]: CKA3A4NIK[NR] [Night Raid, Level 35]: Go die police rat
[2021-04-08 04:09:29]: x7|cya [xSD7, Level 42]: OP|Supers: ye taser against endless
[2021-04-08 04:09:33]: ***  [h���, Level 0]: 'sun.slow(y)' entered and joined the game
[2021-04-08 04:09:42]: [D] \\Syth [, Level 25]: Axandos: what?
[2021-04-08 04:09:45]: Kong [[_Any %_], Level 0]: can you hook me to this thing
[2021-04-08 04:09:49]: CKA3A4NIK[NR] [Night Raid, Level 35]: OMG
[2021-04-08 04:09:50]: Axandos [, Level 0]: [D] \\Syth:  u are swipez
[2021-04-08 04:09:51]: CKA3A4NIK[NR] [Night Raid, Level 35]: RAY
[2021-04-08 04:09:52]: Kong [[_Any %_], Level 0]: pls
[2021-04-08 04:09:53]: CKA3A4NIK[NR] [Night Raid, Level 35]: RAT
[2021-04-08 04:09:59]: CKA3A4NIK[NR] [Night Raid, Level 35]: You with full clown
[2021-04-08 04:10:00]: CKA3A4NIK[NR] [Night Raid, Level 35]: Noob
[2021-04-08 04:10:05]: [D] \\Syth [, Level 25]: Axandos: but i say sorry to all
[2021-04-08 04:10:16]: Kong [[_Any %_], Level 0]: why ?
[2021-04-08 04:10:18]: Axandos [, Level 0]: [D] \\Syth:  u killed me because of error
[2021-04-08 04:10:19]: Kong [[_Any %_], Level 0]: thx
[2021-04-08 04:10:20]: ***  [h���, Level 0]: 'NidardoHD' entered and joined the game
[2021-04-08 04:10:20]: Supers [ᅟᅟᅟ, Level 8]: sun.slow(y):  hilfe
[2021-04-08 04:10:23]: Supers [ᅟᅟᅟ, Level 8]: sun.slow(y):  xD
[2021-04-08 04:10:26]: sun.slow(y) [FookinLads, Level 35]: Supers: hdf
[2021-04-08 04:10:29]: Supers [ᅟᅟᅟ, Level 8]: sun.slow(y):  ??
[2021-04-08 04:10:31]: ***  [h���, Level 0]: 'Shroom' entered and joined the game
[2021-04-08 04:10:37]: ***  [h���, Level 0]: '(1)bob weqe fan' entered and joined the game
[2021-04-08 04:10:37]: [D] \\Syth [, Level 25]: Axandos: old friend and i dont know what are u
[2021-04-08 04:10:39]: [D] \\Syth [, Level 25]: sorry
[2021-04-08 04:10:40]: [D] \\Syth [, Level 25]: dude
[2021-04-08 04:10:44]: sun.slow(y) [FookinLads, Level 35]: Supers: brauchst mir nicht chreiben nachdem was du mit lucas gemacht hast
[2021-04-08 04:10:47]: Kong [[_Any %_], Level 0]: XD
[2021-04-08 04:10:52]: OP|Supers [DogParty, Level 39]: sun.slow(y):  wtf
[2021-04-08 04:10:56]: Котяра [, Level 19]: СУКА
[2021-04-08 04:10:58]: ***  [h���, Level 0]: 'bob weqe fan' has left the game (Timeout)
[2021-04-08 04:10:59]: OP|Supers [DogParty, Level 39]: sun.slow(y):  schau disc ich hab alles erklärt
[2021-04-08 04:11:06]: OP|Supers [DogParty, Level 39]: sun.slow(y):  und er war dankbar das ich das gemacht hab
[2021-04-08 04:11:15]: sun.slow(y) [FookinLads, Level 35]: Supers: diggi, das war einfach nur ne bestätigung das dun kind bist
[2021-04-08 04:11:17]: Axandos [, Level 0]: bruh
[2021-04-08 04:11:17]: sun.slow(y) [FookinLads, Level 35]: Supers: sowas macht man ned
[2021-04-08 04:11:20]: \\Syth [[!FAKE!], Level 30]: CKA3A4NIK[NR]:
[2021-04-08 04:11:22]: OP|Supers [DogParty, Level 39]: sun.slow(y):  schau disc
[2021-04-08 04:11:24]: ***  [h���, Level 0]: '(1)ビール|Zero' entered and joined the game
[2021-04-08 04:11:25]: (1)ビール|Ze [Drunks, Level 0]: <ΞΞΞΞΞΞΞ≥≤≥≤Ξ)|₪₪₪[̲̲̅̅С̲̲̅̅А̲̲̅̅М̲̲̅̅У̲̲̅̅Р̲̲̅̅А̲̲̅̅Й̲̲̅̅]₪₪§|(Ξ≥≤≥≤ΞΞΞΞΞΞΞ>
[2021-04-08 04:11:29]: ***  [h���, Level 0]: '(1)Котяра' entered and joined the game
[2021-04-08 04:11:29]: Kong [[_Any %_], Level 0]: to this hol pls
[2021-04-08 04:11:30]: \\Syth [[!FAKE!], Level 30]: restart:
[2021-04-08 04:11:35]: ***  [h���, Level 0]: '\\Syth' has been muted for 60 seconds
[2021-04-08 04:11:42]: Shroom [, Level 0]: Jerry: im tom fan
[2021-04-08 04:11:43]: OP|Supers [DogParty, Level 39]: [D] x7|cya:  stop now
[2021-04-08 04:11:45]: ***  [h���, Level 0]: 'weqe' entered and joined the game
[2021-04-08 04:11:45]: ***  [h���, Level 0]: 'ES' entered and joined the game
[2021-04-08 04:11:46]: CKA3A4NIK[NR] [Night Raid, Level 35]: bob:  OMG WHY YOU KILL ME?
[2021-04-08 04:11:48]: Kong [[_Any %_], Level 0]: hook me to this holl pls
[2021-04-08 04:11:49]: (1)bob weqe fan [Ape, Level 0]: restart help me
[2021-04-08 04:11:49]: ***  [h���, Level 0]: restart is on a killing spree with 5 blocks
[2021-04-08 04:11:50]: bob [Legacy™, Level 36]: Axandos: why u kill hi
[2021-04-08 04:11:57]: Axandos [, Level 0]: bob:  er hat mich gekillt
[2021-04-08 04:11:59]: x7|cya [xSD7, Level 42]: x7 sven: look discord
[2021-04-08 04:11:59]: ***  [h���, Level 0]: [INFO] You can create an account using '/register'
[2021-04-08 04:12:01]:   [, Level 0]: CKA3A4NIK[NR]: any:  How?
[2021-04-08 04:12:01]: ***  [h���, Level 0]: '(1)Котяра' has left the game
[2021-04-08 04:12:04]: sun.slow(y) [FookinLads, Level 35]: bob:
[2021-04-08 04:12:06]: ***  [h���, Level 0]: Axandos is on a killing spree with 10 blocks
[2021-04-08 04:12:06]: bob [Legacy™, Level 36]: sun.slow(y):
[2021-04-08 04:12:07]:   [, Level 0]: CKA3A4NIK[NR]: any:  How?
[2021-04-08 04:12:08]: x7|cya [xSD7, Level 42]: x7 sven: - enemy suggestions
[2021-04-08 04:12:09]: sun.slow(y) [FookinLads, Level 35]: bob: hab gehört du verschenkst portal guns
[2021-04-08 04:12:11]: (1)bob weqe fan [Ape, Level 0]: wy did jou kill me
[2021-04-08 04:12:11]: (1)ビール|Ze [Drunks, Level 0]: NetFlix: help pls
[2021-04-08 04:12:11]: sun.slow(y) [FookinLads, Level 35]: bob: wos meine
[2021-04-08 04:12:12]: ***  [h���, Level 0]: '(1)Котяра' entered and joined the game
[2021-04-08 04:12:17]: sun.slow(y) [FookinLads, Level 35]: bob: hahahahha
[2021-04-08 04:12:21]: bob [Legacy™, Level 36]: weiss nicht von was du redest sry
[2021-04-08 04:12:25]:   [, Level 0]: CKA3A4NIK[NR]: aa lol
[2021-04-08 04:12:26]:   [, Level 0]: (1)Котяра: NetFlix:
[2021-04-08 04:12:26]:   [, Level 0]: CKA3A4NIK[NR]: stop
[2021-04-08 04:12:33]: sun.slow(y) [FookinLads, Level 35]: bob: <3
[2021-04-08 04:12:35]: bob [Legacy™, Level 36]: brother weqe
[2021-04-08 04:12:37]: weqe [MNKY, Level 12]: brother bob
[2021-04-08 04:12:42]:   [, Level 0]: CKA3A4NIK[NR]: Stop  a sec
[2021-04-08 04:12:45]: OP|Supers [DogParty, Level 39]: x7 sven:  [D] x7|cya  is just toxic
[2021-04-08 04:12:47]: bob [Legacy™, Level 36]: weqe: give (1)bob weqe fan kiss
[2021-04-08 04:12:50]: \\Syth [[!FAKE!], Level 30]: Axandos: u kill me what now
[2021-04-08 04:12:58]: bob [Legacy™, Level 36]: weqe: Friendiship ² is team
[2021-04-08 04:13:06]: Axandos [, Level 0]: [D] \\Syth:  i kill u every time i see u
[2021-04-08 04:13:07]: weqe [MNKY, Level 12]: but he help my enemy bob ?
[2021-04-08 04:13:14]: bob [Legacy™, Level 36]: weqe: not anymore he my friend now
[2021-04-08 04:13:17]: weqe [MNKY, Level 12]: ok
[2021-04-08 04:13:17]: \\Syth [[!FAKE!], Level 30]: Axandos: lol go v3 10 0
[2021-04-08 04:13:24]: weqe [MNKY, Level 12]: bob:
[2021-04-08 04:13:28]: weqe [MNKY, Level 12]: i have something to tell u
[2021-04-08 04:13:33]: bob [Legacy™, Level 36]: tell me brother
[2021-04-08 04:13:35]: weqe [MNKY, Level 12]: promise u dont cry
[2021-04-08 04:13:39]: bob [Legacy™, Level 36]: wtf men
[2021-04-08 04:13:41]: bob [Legacy™, Level 36]: i wont cry
[2021-04-08 04:13:46]: weqe [MNKY, Level 12]: brother i quit this sry
[2021-04-08 04:13:50]: Kong [[_Any %_], Level 0]: shoot
[2021-04-08 04:13:54]: bob [Legacy™, Level 36]: brother
[2021-04-08 04:13:55]: Kong [[_Any %_], Level 0]: to this holl
[2021-04-08 04:13:55]: bob [Legacy™, Level 36]: why
[2021-04-08 04:13:56]: Kong [[_Any %_], Level 0]: pls
[2021-04-08 04:14:01]: weqe [MNKY, Level 12]: i dont have time for this brother bob
[2021-04-08 04:14:06]: bob [Legacy™, Level 36]: but u like it brother
[2021-04-08 04:14:11]: weqe [MNKY, Level 12]: yes but i have to work brother
[2021-04-08 04:14:16]: bob [Legacy™, Level 36]: brother u dont have to play allday
[2021-04-08 04:14:18]: bob [Legacy™, Level 36]: just stometimes xd
[2021-04-08 04:14:19]: Supers [ᅟᅟᅟ, Level 8]: [D] x7|cya:  toxic fuck
[2021-04-08 04:14:25]: Kong [[_Any %_], Level 0]: ?
[2021-04-08 04:14:26]: weqe [MNKY, Level 12]: i cant afford brother its addicting bob
[2021-04-08 04:14:28]: sun.slow(y) [FookinLads, Level 35]: (1)bob weqe fan: who are u
[2021-04-08 04:14:31]: bob [Legacy™, Level 36]: yes brother
[2021-04-08 04:14:32]: bob [Legacy™, Level 36]: but
[2021-04-08 04:14:34]: bob [Legacy™, Level 36]: i will miss you
[2021-04-08 04:14:37]: bob [Legacy™, Level 36]: u cant not play it
[2021-04-08 04:14:41]: NidardoHD [FlexTape, Level 0]: \\Syth: help
[2021-04-08 04:14:44]: (1)bob weqe fan [Ape, Level 0]: i am fan of bob en waqa
[2021-04-08 04:14:45]: weqe [MNKY, Level 12]: brother u can check up on me on discord bob
[2021-04-08 04:14:46]: \\Syth [[!FAKE!], Level 30]: NidardoHD: em xd
[2021-04-08 04:14:48]: bob [Legacy™, Level 36]: iam crying
[2021-04-08 04:14:49]: (1)bob weqe fan [Ape, Level 0]: weqe
[2021-04-08 04:14:52]: weqe [MNKY, Level 12]: pls no cry (1)bob weqe fan
